distance_threshold,num_colors_l1,num_colors_l2,num_colors_l3,num_nodes_loss,reduction_nodes,num_params_loss,reduction_pars_loss
0.0002,472,429,390,1291,0.8606666666666667,745047,0.8292027912877987
0.0004,440,418,377,1235,0.8233333333333334,691481,0.7695863151217015
0.0006,404,401,367,1172,0.7813333333333333,630759,0.7020055425092654
0.0008,373,379,354,1106,0.7373333333333333,572621,0.6373006421742663
0.001,341,354,326,1021,0.6806666666666666,507753,0.565105563655385
0.0012,307,324,318,949,0.6326666666666667,447327,0.4978542253285996
0.0014,283,305,298,886,0.5906666666666667,402953,0.44846801927635754
0.0016,259,288,287,834,0.556,364018,0.4051351682229469
0.0018,241,270,275,786,0.524,331810,0.3692891564924152
0.002,229,259,258,746,0.49733333333333335,309005,0.3439082480996316
0.0022,211,249,249,709,0.4726666666666667,283173,0.3151584289546026
0.0024,204,234,242,680,0.4533333333333333,267410,0.2976149402900357
0.0026,192,230,239,661,0.44066666666666665,252719,0.28126453795728484
0.0028,187,214,229,630,0.42,238562,0.2655084528831065
0.003,185,201,222,608,0.4053333333333333,229685,0.25562876317458905
0.0032,178,195,211,584,0.3893333333333333,218111,0.24274743742418003
0.0034,168,184,203,555,0.37,202571,0.2254521374275189
0.0036,166,175,193,534,0.356,195443,0.21751900368387664
0.0038,157,167,190,514,0.3426666666666667,183461,0.2041835928370302
0.004,148,159,186,493,0.32866666666666666,171501,0.190872666970874
0.0042,142,151,180,473,0.31533333333333335,162233,0.1805578123782707
0.0044,137,147,170,454,0.30266666666666664,154701,0.17217504535286196
0.0046,134,141,166,441,0.294,149467,0.16634984585591703
0.0048,132,136,158,426,0.284,144944,0.16131595641673438
0.005,130,130,156,416,0.2773333333333333,141086,0.15702218116659802
0.0052,127,127,153,407,0.2713333333333333,137075,0.15255812400529767
0.0054,125,123,149,397,0.26466666666666666,133599,0.14868949705623755
0.0056,121,121,145,387,0.258,128897,0.14345638891052964
0.0058,118,119,140,377,0.25133333333333335,125001,0.13912032142101924
0.006,116,114,135,365,0.24333333333333335,121283,0.13498235968436634
0.0062,114,110,129,353,0.23533333333333334,117759,0.13106031095925477
0.0064,112,109,125,346,0.23066666666666666,115247,0.12826457134589486
